game_id,home_team,away_team,bookmaker,spread_home,spread_away,price_home,price_away,commence_time,last_update
930e0687ebe1ad6186e1db0d88fe7f4a,Denver Nuggets,Golden State Warriors,DraftKings,-5.5,5.5,-110,-110,2025-11-08T03:00:00Z,2025-10-06T02:15:41Z
63016986bd7402f9433def9ec4be4fe1,New York Knicks,Miami Heat,DraftKings,-9.5,9.5,-110,-110,2025-11-15T00:00:00Z,2025-10-06T02:15:41Z
46fc9b98835561f7bfa81c7275b3ed37,San Antonio Spurs,Golden State Warriors,DraftKings,-1.0,1.0,-105,-115,2025-11-15T02:30:00Z,2025-10-06T02:15:41Z
58c5d4f9449efc54b2a2ceb71ca6878b,Cleveland Cavaliers,Indiana Pacers,DraftKings,-10.0,10.0,-110,-110,2025-11-22T00:00:00Z,2025-10-06T02:15:41Z
8162993fb172c214bf7e7338079a0e79,Houston Rockets,Denver Nuggets,DraftKings,-3.0,3.0,-110,-110,2025-11-22T02:30:00Z,2025-10-06T02:15:41Z
a43d5e85ccdf728d56f44bfda12b9d06,Philadelphia 76ers,Orlando Magic,DraftKings,1.0,-1.0,-110,-110,2025-11-26T01:00:00Z,2025-10-06T02:15:41Z
b7209d3aae71bb2dc1ca8f9412a95a4a,Los Angeles Lakers,Los Angeles Clippers,DraftKings,-1.0,1.0,-105,-115,2025-11-26T04:00:00Z,2025-10-06T02:15:41Z
e69335f9f4054ca683c7219dabdeac53,Boston Celtics,Detroit Pistons,DraftKings,-1.0,1.0,-110,-110,2025-11-26T22:00:00Z,2025-10-06T02:15:41Z
63748218430054c9c947b1beeab351c9,Oklahoma City Thunder,Minnesota Timberwolves,DraftKings,-8.0,8.0,-110,-110,2025-11-27T00:30:00Z,2025-10-06T02:15:41Z
c728773fb406fb68e411f28e838ef9ed,Golden State Warriors,Houston Rockets,DraftKings,1.0,-1.0,-110,-110,2025-11-27T03:00:00Z,2025-10-06T02:15:41Z
7352c74ba8dbdb543d750f378fc002d5,New York Knicks,Milwaukee Bucks,DraftKings,-6.0,6.0,-110,-110,2025-11-29T00:30:00Z,2025-10-06T02:15:41Z
78aabf080c02d6b74d6d5a15ae2d2a81,Los Angeles Lakers,Dallas Mavericks,DraftKings,-6.5,6.5,-110,-110,2025-11-29T03:00:00Z,2025-10-06T02:15:41Z
f557c9173a46a3c7c87afb4bd68f6644,New York Knicks,Cleveland Cavaliers,DraftKings,-2.5,2.5,-110,-110,2025-12-25T17:00:00Z,2025-10-06T02:15:41Z
f557c9173a46a3c7c87afb4bd68f6644,New York Knicks,Cleveland Cavaliers,FanDuel,-1.5,1.5,-115,-105,2025-12-25T17:00:00Z,2025-10-06T02:14:06Z
f557c9173a46a3c7c87afb4bd68f6644,New York Knicks,Cleveland Cavaliers,MyBookie.ag,-2.5,2.5,-110,-110,2025-12-25T17:00:00Z,2025-10-06T02:15:34Z
f557c9173a46a3c7c87afb4bd68f6644,New York Knicks,Cleveland Cavaliers,LowVig.ag,-2.0,2.0,-106,-106,2025-12-25T17:00:00Z,2025-10-06T02:15:32Z
f557c9173a46a3c7c87afb4bd68f6644,New York Knicks,Cleveland Cavaliers,Bovada,-2.5,2.5,-110,-110,2025-12-25T17:00:00Z,2025-10-06T02:15:01Z
f557c9173a46a3c7c87afb4bd68f6644,New York Knicks,Cleveland Cavaliers,BetOnline.ag,-2.0,2.0,-110,-110,2025-12-25T17:00:00Z,2025-10-06T02:15:32Z
f557c9173a46a3c7c87afb4bd68f6644,New York Knicks,Cleveland Cavaliers,BetRivers,-2.5,2.5,-113,-113,2025-12-25T17:00:00Z,2025-10-06T02:15:50Z
4ca0a40cec306fd9a3c9b36b1e76500e,Oklahoma City Thunder,San Antonio Spurs,DraftKings,-9.5,9.5,-115,-105,2025-12-25T19:30:00Z,2025-10-06T02:15:41Z
4ca0a40cec306fd9a3c9b36b1e76500e,Oklahoma City Thunder,San Antonio Spurs,FanDuel,-9.5,9.5,-112,-108,2025-12-25T19:30:00Z,2025-10-06T02:14:06Z
4ca0a40cec306fd9a3c9b36b1e76500e,Oklahoma City Thunder,San Antonio Spurs,LowVig.ag,-9.5,9.5,-106,-106,2025-12-25T19:30:00Z,2025-10-06T02:15:32Z
4ca0a40cec306fd9a3c9b36b1e76500e,Oklahoma City Thunder,San Antonio Spurs,Bovada,-9.5,9.5,-110,-110,2025-12-25T19:30:00Z,2025-10-06T02:15:01Z
4ca0a40cec306fd9a3c9b36b1e76500e,Oklahoma City Thunder,San Antonio Spurs,BetOnline.ag,-9.5,9.5,-110,-110,2025-12-25T19:30:00Z,2025-10-06T02:15:32Z
4ca0a40cec306fd9a3c9b36b1e76500e,Oklahoma City Thunder,San Antonio Spurs,MyBookie.ag,-9.5,9.5,-110,-110,2025-12-25T19:30:00Z,2025-10-06T02:15:34Z
4ca0a40cec306fd9a3c9b36b1e76500e,Oklahoma City Thunder,San Antonio Spurs,BetRivers,-9.5,9.5,-112,-113,2025-12-25T19:30:00Z,2025-10-06T02:15:50Z
9010f7d8f26d5880c63b67355800f997,Golden State Warriors,Dallas Mavericks,DraftKings,-4.5,4.5,-112,-108,2025-12-25T22:00:00Z,2025-10-06T02:15:41Z
9010f7d8f26d5880c63b67355800f997,Golden State Warriors,Dallas Mavericks,FanDuel,-4.5,4.5,-110,-110,2025-12-25T22:00:00Z,2025-10-06T02:14:06Z
9010f7d8f26d5880c63b67355800f997,Golden State Warriors,Dallas Mavericks,LowVig.ag,-4.0,4.0,-106,-106,2025-12-25T22:00:00Z,2025-10-06T02:15:32Z
9010f7d8f26d5880c63b67355800f997,Golden State Warriors,Dallas Mavericks,Bovada,-4.5,4.5,-110,-110,2025-12-25T22:00:00Z,2025-10-06T02:15:01Z
